Keterangan,Menit,Tegangan Baterai,Arus Beban,SOC
Tanpa beban,0,12.77,0.22680435586624204,100.0%
Lampu,10,12.71,0.23,9786.7%
Lampu,20,12.66,0.245,8971.6%
Lampu,30,12.64,0.245,8767.99%
Lampu,40,12.63,0.245,8666.2%
Lampu,50,12.62,0.245,8564.4%
Lampu,60,12.61,0.245,8462.61%
Lampu,70,12.6,0.245,8360.81%
Lampu,80,12.6,0.245,8360.81%
Lampu,90,12.59,0.24,8361.75%
Lampu,100,12.58,0.24,8259.95%
Lampu,110,12.57,0.24,8158.15%
Lampu,120,12.57,0.24,8158.15%
Lampu,130,12.56,0.24,8056.34%
Lampu,140,12.56,0.24,8056.34%
Lampu,150,12.55,0.24,7954.54%
Lampu,160,12.54,0.24,7852.75%
Lampu,170,12.54,0.24,7852.75%
Lampu,180,12.53,0.24,7750.95%
Lampu,190,12.53,0.24,7750.95%
Lampu,200,12.53,0.24,7750.95%
Lampu,210,12.52,0.24,7649.16%
Lampu,220,12.52,0.24,7649.16%
Lampu,230,12.52,0.24,7649.16%
Lampu,240,12.51,0.24,7547.31%
Lampu,250,12.5,0.239,7466.09%
Lampu,260,12.5,0.239,7466.09%
Lampu,270,12.49,0.239,7364.23%
Lampu,280,12.49,0.235,7446.5%
Lampu,290,12.49,0.235,7446.5%
Lampu,300,12.48,0.235,7344.7%
Lampu,310,12.48,0.235,7344.7%
Lampu,320,12.48,0.235,7344.7%
Lampu,330,12.48,0.235,7344.7%
Lampu,340,12.47,0.235,7242.9%
Lampu,350,12.47,0.235,7242.9%
Lampu,360,12.46,0.235,7141.1%
Lampu,370,12.46,0.235,7141.1%
Lampu,380,12.45,0.235,7039.3%
Lampu,390,12.45,0.235,7039.3%
Lampu,400,12.45,0.235,7039.3%
Lampu,410,12.44,0.235,6937.51%
Lampu,420,12.44,0.235,6937.51%
Lampu,430,12.43,0.235,6835.66%
Lampu,440,12.43,0.235,6835.66%
Lampu,450,12.43,0.233,6876.79%
Lampu,460,12.42,0.233,6775.0%
Lampu,470,12.42,0.23,6836.65%
Lampu,480,12.41,0.23,6734.85%
Lampu,490,12.41,0.23,6734.85%
Lampu,500,12.41,0.23,6734.85%
Lampu,510,12.41,0.23,6734.85%
Lampu,520,12.4,0.23,6633.05%
Lampu,530,12.4,0.23,6633.05%
Lampu,540,12.39,0.23,6531.25%
Lampu,550,12.39,0.23,6531.25%
Lampu,560,12.39,0.23,6531.25%
Lampu,570,12.38,0.23,6429.45%
Lampu,580,12.38,0.23,6429.45%
Lampu,590,12.38,0.23,6429.45%
Lampu,600,12.37,0.23,6327.65%
Lampu,610,12.37,0.23,6327.65%
Lampu,620,12.37,0.23,6327.65%
Lampu,630,12.37,0.23,6327.65%
Lampu,640,12.37,0.23,6327.65%
Lampu,650,12.36,0.23,6225.85%
Lampu,660,12.36,0.23,6225.85%
Lampu,670,12.36,0.23,6225.85%
Lampu,680,12.36,0.23,6225.85%
Lampu,690,12.35,0.23,6123.99%
Lampu,700,12.35,0.23,6123.99%
Lampu,710,12.35,0.23,6123.99%
Lampu,720,12.34,0.23,6022.1%
Lampu,730,12.34,0.225,6124.84%
Lampu,740,12.33,0.225,6023.15%
Lampu,750,12.33,0.225,6023.15%
Lampu,760,12.33,0.225,6023.15%
Lampu,770,12.32,0.225,5921.43%
Lampu,780,12.32,0.225,5921.43%
Lampu,790,12.32,0.225,5921.43%
Lampu,800,12.32,0.225,5921.43%
Lampu,810,12.32,0.225,5921.43%
Lampu,820,12.31,0.225,5819.62%
Lampu,830,12.31,0.225,5819.62%
Lampu,840,12.31,0.225,5819.62%
Lampu,850,12.3,0.225,5717.82%
Lampu,860,12.3,0.223,5758.75%
Lampu,870,12.3,0.222,5779.01%
Lampu,880,12.3,0.222,5779.01%
Lampu,890,12.3,0.222,5779.01%
Lampu,900,12.29,0.222,5677.35%
Lampu,910,12.29,0.222,5677.35%
Lampu,920,12.29,0.222,5677.35%
Lampu,930,12.29,0.222,5677.35%
Lampu,940,12.28,0.222,5575.71%
Lampu,950,12.28,0.222,5575.71%
Lampu,960,12.28,0.221,5596.05%
Lampu,970,12.27,0.221,5494.34%
Lampu,980,12.27,0.221,5494.34%
Lampu,990,12.27,0.221,5494.34%
Lampu,1000,12.27,0.221,5494.34%
Lampu,1010,12.26,0.221,5392.72%
Lampu,1020,12.26,0.221,5392.72%
Lampu,1030,12.26,0.2205,5402.89%
Lampu,1040,12.26,0.22,5413.19%
Lampu,1050,12.26,0.22,5413.19%
Lampu,1060,12.26,0.22,5413.19%
Lampu,1070,12.25,0.22,5311.46%
Lampu,1080,12.25,0.22,5311.46%
Lampu,1090,12.24,0.22,5209.8%
Lampu,1100,12.24,0.22,5209.8%
Lampu,1110,12.24,0.22,5209.8%
Lampu,1120,12.24,0.22,5209.8%
Lampu,1130,12.24,0.22,5209.8%
Lampu,1140,12.23,0.22,5108.15%
Lampu,1150,12.23,0.22,5108.15%
Lampu,1160,12.23,0.219,5128.61%
Lampu,1170,12.22,0.219,5026.88%
Lampu,1180,12.22,0.219,5026.88%
Lampu,1190,12.22,0.219,5026.88%
Lampu,1200,12.22,0.219,5026.88%
Lampu,1210,12.21,0.219,4925.25%
Lampu,1220,12.21,0.219,4925.25%
Lampu,1230,12.2,0.219,4823.56%
Lampu,1240,12.2,0.219,4823.56%
Lampu,1250,12.2,0.219,4823.56%
Lampu,1260,12.2,0.219,4823.56%
Lampu,1270,12.2,0.219,4823.56%
Lampu,1280,12.2,0.219,4823.56%
Rest,Rest 10 menit,12.26,0.22680435586624204,65.0%
Lampu,1290,12.19,0.218,4742.35%
Lampu,1300,12.19,0.218,4742.35%
Lampu,1310,12.19,0.218,4742.35%
Lampu,1320,12.18,0.218,4640.67%
Lampu,1330,12.18,0.218,4640.67%
Lampu,1340,12.18,0.218,4640.67%
Lampu,1350,12.18,0.215,4702.0%
Lampu,1360,12.17,0.215,4600.28%
Lampu,1370,12.17,0.215,4600.28%
Lampu,1380,12.17,0.215,4600.28%
Lampu,1390,12.17,0.215,4600.28%
Lampu,1400,12.16,0.215,4498.55%
Lampu,1410,12.16,0.215,4498.55%
Lampu,1420,12.16,0.215,4498.55%
Lampu,1430,12.16,0.215,4498.55%
Lampu,1440,12.15,0.215,4396.83%
Lampu,1450,12.15,0.215,4396.83%
Lampu,1460,12.15,0.215,4396.83%
Lampu,1470,12.15,0.215,4396.83%
Rest,Rest 8 Jam,12.25,0.22680435586624204,64.0%
Lampu,1480,12.18,0.215,4702.0%
Lampu,1490,12.15,0.215,4396.83%
Lampu,1500,12.14,0.215,4295.1%
Lampu,1510,12.14,0.215,4295.1%
Lampu,1520,12.14,0.215,4295.1%
Lampu,1530,12.13,0.215,4193.38%
Lampu,1540,12.13,0.215,4193.38%
Lampu,1550,12.12,0.215,4091.65%
Lampu,1560,12.12,0.215,4091.65%
Rest,Rest 20 menit,12.2,0.22680435586624204,60.0%
Tanpa beban,akhir,12.21,0.22680435586624204,60.0%
Rata-rata,,,0.226783871,354.31%
